Timestamp,Temperature (C),Humidity (%)
2023-10-29 16:06:34.267202,23.894882202148438,44.84891891479492
2023-10-29 16:06:34.973043,23.932647705078125,44.83480453491211
2023-10-29 16:06:35.591567,23.933792114257812,44.890785217285156
2023-10-29 16:06:36.199284,23.944854736328125,44.8939323425293
2023-10-29 16:06:36.801284,23.938560485839844,44.94590759277344
2023-10-29 16:06:37.413221,23.962783813476562,44.89307403564453
2023-10-29 16:06:37.998542,23.957061767578125,44.902992248535156
2023-10-29 16:06:38.605283,23.947525024414062,44.970703125
2023-10-29 16:06:39.220798,23.95496368408203,44.99235153198242
2023-10-29 16:06:39.844119,23.95477294921875,44.88563537597656
2023-10-29 16:06:40.447175,23.968505859375,45.00627517700195
2023-10-29 16:06:41.040173,23.97785186767578,45.00627517700195
2023-10-29 16:06:41.628099,23.963165283203125,44.95706558227539
2023-10-29 16:06:42.250322,23.989105224609375,44.95868682861328
2023-10-29 16:06:42.847968,23.969268798828125,45.0037956237793
2023-10-29 16:06:43.442933,23.985862731933594,44.945335388183594
2023-10-29 16:06:44.032660,23.985862731933594,44.980812072753906
2023-10-29 16:06:44.647975,23.99444580078125,44.95077133178711
2023-10-29 16:06:45.232626,24.000930786132812,45.07122039794922
2023-10-29 16:06:45.830936,24.003219604492188,45.08771896362305
2023-10-29 16:06:46.430518,24.015426635742188,44.97051239013672
2023-10-29 16:06:47.032028,24.02362823486328,44.91252899169922
2023-10-29 16:06:47.634423,24.025535583496094,44.973087310791016
2023-10-29 16:06:48.253457,24.02172088623047,44.98271942138672
2023-10-29 16:06:48.877694,24.029159545898438,44.91434097290039
2023-10-29 16:06:49.480013,24.041175842285156,44.98310089111328
2023-10-29 16:06:50.093248,24.039077758789062,44.904136657714844
2023-10-29 16:06:50.719133,24.030494689941406,44.93522644042969
2023-10-29 16:06:51.306753,24.028396606445312,44.97051239013672
2023-10-29 16:06:51.929438,24.033164978027344,45.00617980957031
2023-10-29 16:06:52.532612,24.034500122070312,44.954586029052734
2023-10-29 16:06:53.147735,24.039649963378906,44.977378845214844
2023-10-29 16:06:53.733890,24.038314819335938,44.976806640625
2023-10-29 16:06:54.350400,24.037742614746094,44.86799240112305
2023-10-29 16:06:54.951897,24.040603637695312,44.948482513427734
2023-10-29 16:06:55.535349,24.052810668945312,44.951629638671875
2023-10-29 16:06:56.149793,24.057960510253906,45.044612884521484
2023-10-29 16:06:56.732653,24.045181274414062,44.857025146484375
2023-10-29 16:06:57.365534,24.068832397460938,45.0164794921875
2023-10-29 16:06:57.973896,24.04937744140625,44.92502212524414
2023-10-29 16:06:58.570594,24.06635284423828,44.880008697509766
2023-10-29 16:06:59.183924,24.073219299316406,44.97346878051758
